Column1,id,geometry,x,y,,,,Typ budovy,,,,Pocet-bytov
86,17526,POINT (21.228095 48.7058524),21.228095,48.7058524,,,,Rodinny dom,,,,1
87,17529,POINT (21.22833 48.7058892),21.22833,48.7058892,,,,Rodinny dom,,,,1
88,17530,POINT (21.2285651 48.705926),21.2285651,48.705926,,,,Rodinny dom,,,,1
89,17534,POINT (21.2292702 48.7060365),21.2292702,48.7060365,,,,Rodinny dom,,,,1
90,17535,POINT (21.2295052 48.7060733),21.2295052,48.7060733,,,,Rodinny dom,,,,1
91,17537,POINT (21.2254492 48.706774),21.2254492,48.706774,,,,Rodinny dom,,,,1
92,17540,POINT (21.2253465 48.706902),21.2253465,48.706902,,,,Rodinny dom,,,,1
93,17397,POINT (21.2254242 48.7106794),21.2254242,48.7106794,,,,Rodinny dom,,,,1
94,17364,POINT (21.2254314 48.7107606),21.2254314,48.7107606,,,,Rodinny dom,,,,1
95,17363,POINT (21.2254386 48.7108418),21.2254386,48.7108418,,,,Rodinny dom,,,,1
96,17226,POINT (21.2235535 48.7108499),21.2235535,48.7108499,,,,Rodinny dom,,,,1
97,17206,POINT (21.2202969 48.7077126),21.2202969,48.7077126,,,,Rodinny dom,,,,1
98,17207,POINT (21.2202918 48.7077944),21.2202918,48.7077944,,,,Rodinny dom,,,,1
99,17210,POINT (21.2202982 48.7078822),21.2202982,48.7078822,,,,Rodinny dom,,,,1
100,17211,POINT (21.2203039 48.7079625),21.2203039,48.7079625,,,,Rodinny dom,,,,1
101,17214,POINT (21.2200183 48.7063949),21.2200183,48.7063949,,,,Rodinny dom,,,,1
102,17216,POINT (21.2234683 48.71034),21.2234683,48.71034,,,,Rodinny dom,,,,1
103,17219,POINT (21.2234618 48.7104637),21.2234618,48.7104637,,,,Rodinny dom,,,,1
104,17222,POINT (21.2234585 48.7105188),21.2234585,48.7105188,,,,Rodinny dom,,,,1
105,17225,POINT (21.2234553 48.7105823),21.2234553,48.7105823,,,,Rodinny dom,,,,1
106,17229,POINT (21.223447 48.7108427),21.223447,48.7108427,,,,Rodinny dom,,,,1
107,17252,POINT (21.2235161 48.7094245),21.2235161,48.7094245,,,,Rodinny dom,,,,1
108,17230,POINT (21.2233451 48.7108374),21.2233451,48.7108374,,,,Rodinny dom,,,,1
109,17232,POINT (21.2231433 48.7108361),21.2231433,48.7108361,,,,Rodinny dom,,,,1
110,17235,POINT (21.2230494 48.7108322),21.2230494,48.7108322,,,,Rodinny dom,,,,1
111,17237,POINT (21.2228514 48.7108233),21.2228514,48.7108233,,,,Rodinny dom,,,,1
112,17240,POINT (21.2234812 48.7100744),21.2234812,48.7100744,,,,Rodinny dom,,,,1
113,17241,POINT (21.2234844 48.7100109),21.2234844,48.7100109,,,,Rodinny dom,,,,1
114,17244,POINT (21.2234877 48.7099474),21.2234877,48.7099474,,,,Rodinny dom,,,,1
115,17246,POINT (21.2235006 48.7096935),21.2235006,48.7096935,,,,Rodinny dom,,,,1
116,17247,POINT (21.2235039 48.70963),21.2235039,48.70963,,,,Rodinny dom,,,,1
117,17203,POINT (21.2202995 48.7076341),21.2202995,48.7076341,,,,Rodinny dom,,,,1
118,17201,POINT (21.2206597 48.706571),21.2206597,48.706571,,,,Rodinny dom,,,,1
119,17198,POINT (21.220809 48.7062703),21.220809,48.7062703,,,,Rodinny dom,,,,1
120,17197,POINT (21.2207639 48.7057649),21.2207639,48.7057649,,,,Rodinny dom,,,,1
121,17156,POINT (21.2214263 48.7095507),21.2214263,48.7095507,,,,Rodinny dom,,,,1
122,17159,POINT (21.2214173 48.7094688),21.2214173,48.7094688,,,,Rodinny dom,,,,1
123,17160,POINT (21.221356 48.7093921),21.221356,48.7093921,,,,Rodinny dom,,,,1
124,17162,POINT (21.2212034 48.7090383),21.2212034,48.7090383,,,,Rodinny dom,,,,1
125,17165,POINT (21.2211746 48.7089539),21.2211746,48.7089539,,,,Rodinny dom,,,,1
126,17166,POINT (21.2211251 48.7088822),21.2211251,48.7088822,,,,Rodinny dom,,,,1
127,17169,POINT (21.2210664 48.7088076),21.2210664,48.7088076,,,,Rodinny dom,,,,1
128,17171,POINT (21.2210372 48.7086512),21.2210372,48.7086512,,,,Rodinny dom,,,,1
129,17172,POINT (21.2210212 48.70857),21.2210212,48.70857,,,,Rodinny dom,,,,1
130,17175,POINT (21.2209477 48.7082526),21.2209477,48.7082526,,,,Rodinny dom,,,,1
131,17176,POINT (21.2209317 48.7081735),21.2209317,48.7081735,,,,Rodinny dom,,,,1
132,17182,POINT (21.2209125 48.7080965),21.2209125,48.7080965,,,,Rodinny dom,,,,1
133,17183,POINT (21.2209045 48.7080121),21.2209045,48.7080121,,,,Rodinny dom,,,,1
134,17186,POINT (21.2208927 48.707933),21.2208927,48.707933,,,,Rodinny dom,,,,1
135,17188,POINT (21.2208807 48.7078499),21.2208807,48.7078499,,,,Rodinny dom,,,,1
136,17189,POINT (21.2208545 48.7075297),21.2208545,48.7075297,,,,Rodinny dom,,,,1
137,17192,POINT (21.2206952 48.7052921),21.2206952,48.7052921,,,,Rodinny dom,,,,1
138,17193,POINT (21.2207061 48.7054467),21.2207061,48.7054467,,,,Rodinny dom,,,,1
139,17196,POINT (21.2207561 48.7056325),21.2207561,48.7056325,,,,Rodinny dom,,,,1
140,17249,POINT (21.2235205 48.7094914),21.2235205,48.7094914,,,,Rodinny dom,,,,1
141,17254,POINT (21.2230769 48.7083321),21.2230769,48.7083321,,,,Rodinny dom,,,,1
